,country,page,revid,prediction,Name,Population
713,Czech Republic,Michaela Marksová,806673585,Stub,,
714,Czech Republic,Robert Pelikán,806708361,Stub,,
715,Czech Republic,Karla Šlechtová,806708532,Stub,,
716,Czech Republic,Stanislav Gross,806720477,C,,
717,Czech Republic,Martin Stropnický,806729653,Stub,,
718,Czech Republic,Leoš Heger,806751902,Stub,,
719,Czech Republic,Bohuslav Svoboda,806850638,Stub,,
720,Czech Republic,Miroslava Němcová,806876791,Stub,,
721,Czech Republic,Zbyněk Stanjura,806900987,Stub,,
722,Czech Republic,Drahomíra Miklošová,806988445,Stub,,
723,Czech Republic,Václav Klaus Jr.,806991412,C,,
724,Czech Republic,Dominik Feri,807058182,Start,,
725,Czech Republic,Alexandra Udženija,807102237,Stub,,
726,Czech Republic,Ivan Pilný,807333095,Stub,,
727,Czech Republic,Marta Semelová,807334610,Stub,,
728,Czech Republic,Daniel Herman,807334657,Start,,
729,Czech Republic,Jan Hamáček,807353609,Stub,,
730,Czech Republic,Michal Horáček,807358143,C,,
731,Czech Republic,Václav Klaus,807382193,C,,
732,Czech Republic,Martin Kuba,807394304,Stub,,
733,Czech Republic,Martin Říman,807394725,Stub,,
734,Czech Republic,Kateřina Valachová,807399097,Stub,,
735,Czech Republic,Vladimír Tošovský,807415625,Stub,,
736,Czech Republic,Pavel Svoboda,807416099,Start,,
737,Czech Republic,Petr Fiala,807420515,Start,,
738,Czech Republic,Vladimír Špidla,807462107,C,,
9359,Salvadoran,Timoteo Menéndez,566504165,Stub,,
9360,Salvadoran,Joaquín Escolán y Balibrera,679294949,Stub,,
9361,Salvadoran,Fermín Palacios,705353491,Stub,,
9362,Salvadoran,Eugenio Aguilar,705353565,Stub,,
9363,Salvadoran,Tomás Medina,705353584,Stub,,
9364,Salvadoran,Ramón Rodríguez (Salvadoran politician),705353647,Stub,,
9365,Salvadoran,Vicente Gómez,705353678,Stub,,
9366,Salvadoran,Lorenzo Zepeda,705353843,Stub,,
9367,Salvadoran,José María Peralta,705353896,Stub,,
9368,Salvadoran,Francisco Menéndez,705353975,Stub,,
9369,Salvadoran,Pedro José Escalón,705354095,Stub,,
9370,Salvadoran,Fernando Figueroa,705354112,Stub,,
9371,Salvadoran,Carlos Meléndez (politician),705354212,Stub,,
9372,Salvadoran,Fabio Castillo Figueroa,705385310,Stub,,
9373,Salvadoran,Ricardo Montenegro,706769596,Stub,,
9374,Salvadoran,Rafael Campo,707399758,Start,,
9375,Salvadoran,Miguel Santín del Castillo,707400213,Stub,,
9376,Salvadoran,Osmín Aguirre y Salinas,707403482,Stub,,
9377,Salvadoran,Eusebio Rodolfo Cordón Cea,707404888,Stub,,
9378,Salvadoran,Juan José Guzmán,707519272,Stub,,
9379,Salvadoran,Juan José Cañas,708089470,Stub,,
9380,Salvadoran,José Gregorio Salazar,710543364,Start,,
9381,Salvadoran,Diego Vigil Cocaña,710555824,Start,,
9382,Salvadoran,Nicolás Espinoza,710578840,Start,,
9383,Salvadoran,Pedro Barriere,710677703,Start,,
9384,Salvadoran,Joaquín de San Martín,710828020,Start,,
9385,Salvadoran,José Félix Quirós,714256648,Stub,,
9386,Salvadoran,Edgardo Carlos Suárez Mallagray,717903674,Stub,,
9387,Salvadoran,Aníbal Portillo,720419598,Stub,,
9388,Salvadoran,José Francisco Valiente,720478176,Stub,,
9389,Salvadoran,Diego de Holguín,720623176,Stub,,
9390,Salvadoran,Sigfrido Reyes Morales,720633452,Start,,
9391,Salvadoran,Manuel Enrique Araujo,723277343,Start,,
9392,Salvadoran,Joaquín Eufrasio Guzmán,730854147,Stub,,
9393,Salvadoran,Francisco Malespín,730864227,Stub,,
9394,Salvadoran,Rodrigo Ávila,733791467,Start,,
9395,Salvadoran,Mario Aguiñada Carranza,736491718,Start,,
9396,Salvadoran,David Rodríguez Rivera,738362225,Start,,
9397,Salvadoran,Carlos Ezeta,741190933,Stub,,
9398,Salvadoran,Andrés Ignacio Menéndez,742279612,Stub,,
9399,Salvadoran,Gerardo Barrios,743252984,Start,,
9400,Salvadoran,Rubén Zamora,748418081,Start,,
9401,Salvadoran,Antonio José Cañas,749973666,Start,,
9402,Salvadoran,José Atilio Benítez Parada,749976455,Stub,,
9403,Salvadoran,Violeta Menjívar,757618572,Start,,
9404,Salvadoran,Santiago González (politician),757977772,Stub,,
9405,Salvadoran,Rosa Amelia Guzmán,758287489,Start,,
9406,Salvadoran,Gloria Salguero Gross,758288293,C,,
9407,Salvadoran,David Joaquín Guzmán,765528693,Start,,
9408,Salvadoran,Francisco Gómez (El Salvador President),766757526,Start,,
9409,Salvadoran,Francisco Dueñas,769575358,Stub,,
9410,Salvadoran,Rafael Zaldívar,770682721,Start,,
9411,Salvadoran,Óscar Ortiz (El Salvador),774857245,Stub,,
9412,Salvadoran,José Damián Villacorta,777601256,Start,,
9413,Salvadoran,José Escolástico Marín,777602660,Stub,,
9414,Salvadoran,José María Cornejo,777612972,Start,,
9415,Salvadoran,José María Peralta Lagos,777613551,Stub,,
9416,Salvadoran,José María San Martín,777613737,Start,,
9417,Salvadoran,José María Silva,777613786,Start,,
9418,Salvadoran,Juan Manuel Rodríguez,777685186,Start,,
9419,Salvadoran,Juan Vicente Villacorta Díaz,777698313,Start,,
9420,Salvadoran,Juan José Daboub,778564487,C,,
9421,Salvadoran,José Arturo Vásquez Machado,779894617,Stub,,
9422,Salvadoran,Andrés del Valle,779931580,Start,,
9423,Salvadoran,Lilian Mercedes Letona,780552804,Start,,
9424,Salvadoran,Carlos Quintanilla Schmidt,780701356,Stub,,
9425,Salvadoran,Enrique Álvarez Córdova,781102914,Stub,,
9426,Salvadoran,Arturo Araujo,782520448,Stub,,
9427,Salvadoran,Rubén Alonso Rosales,782652818,Start,,
9428,Salvadoran,Mariano Prado,783472679,Start,,
9429,Salvadoran,Pío Romero Bosque,784506431,Stub,,
9430,Salvadoran,Alfonso Quiñónez Molina,785229840,Stub,,
9431,Salvadoran,Jorge Meléndez,786063735,Stub,,
9432,Salvadoran,Carmen Elena Figueroa,786068145,Stub,,
9433,Salvadoran,Felipe Codallos,786492357,Stub,,
9434,Salvadoran,Tomás Regalado (Salvadoran politician),786492366,Stub,,
9435,Salvadoran,Doroteo Vasconcelos,788264133,GA,,
9436,Salvadoran,Alfredo Cristiani,788447923,C,,
9437,Salvadoran,Óscar Osorio,791821555,Start,,
9438,Salvadoran,Lourdes Rodríguez de Flores,791907279,Stub,,
9439,Salvadoran,Álvaro Magaña,791907345,Stub,,
9440,Salvadoran,Salvador Castaneda Castro,791911972,B,,
9441,Salvadoran,Julio Adalberto Rivera Carballo,792385744,Start,,
9442,Salvadoran,Carlos Salazar Castro,793184472,Start,,
9443,Salvadoran,Maximiliano Hernández Martínez,793642670,C,,
9444,Salvadoran,Reynaldo Galindo Pohl,794052085,Stub,,
9445,Salvadoran,Ciro Cruz Zepeda,794459622,Start,,
9446,Salvadoran,Ana Ligia Mixco Sol de Saca,794561394,Start,,
9447,Salvadoran,Carlos Humberto Romero,794988963,Start,,
9448,Salvadoran,Ana María,795573859,Start,,
9449,Salvadoran,Arturo Armando Molina,796131598,Stub,,
9450,Salvadoran,Carlos Eugenio Vides Casanova,797151261,C,,
9451,Salvadoran,Miguel Álvarez Castro,798306895,Stub,,
9452,Salvadoran,José Guillermo García,798460321,Start,,
9453,Salvadoran,Marisol Argueta de Barillas,798896224,Start,,
9454,Salvadoran,René Emilio Ponce,799918049,Stub,,
9455,Salvadoran,Guillermo Ungo,800478736,Stub,,
9456,Salvadoran,Antonio Saca,802075785,C,,
9457,Salvadoran,Hugo Lindo,802944082,Start,,
9458,Salvadoran,Schafik Handal,803674894,Start,,
9459,Salvadoran,Ana Vilma de Escobar,803927035,C,,
9460,Salvadoran,Juan Lindo,804134156,Start,,
9461,Salvadoran,Mauricio Funes,804528819,GA,,
9462,Salvadoran,Vice President of El Salvador,804538892,Start,,
9463,Salvadoran,Francisco Flores Pérez,804606321,C,,
9464,Salvadoran,José Napoleón Duarte,804809409,C,,
9465,Salvadoran,Armando Calderón Sol,804991452,Start,,
9466,Salvadoran,Fidel Sánchez Hernández,805353238,Start,,
9467,Salvadoran,Rafael Antonio Gutiérrez,805474907,Start,,
9468,Salvadoran,Irma Dimas,806010405,Start,,
9469,Salvadoran,Manuel José Arce,806057984,Start,,
9470,Salvadoran,President of El Salvador,806101149,Stub,,
9471,Salvadoran,José Matías Delgado,806731535,C,,
9472,Salvadoran,Vanda Pignato,806958982,B,,
9473,Salvadoran,José María Lemus,807175924,Stub,,
9474,Salvadoran,Salvador Sánchez Cerén,807210786,C,,
9475,Rhodesian,Gervas Clay,574571582,Stub,,
9476,Rhodesian,Harry Davies (politician),669387487,Start,,
9477,Rhodesian,William Fairbridge,682576258,Start,,
9478,Rhodesian,Washington Malianga,711506001,Stub,,
9479,Rhodesian,Ronald Snapper,712233907,Stub,,
9480,Rhodesian,Gerald B. Clarke,747497059,Stub,,
9481,Rhodesian,Francis Chaplin,763530115,Stub,,
9482,Rhodesian,Roger Hawkins (politician),763533706,Start,,
9483,Rhodesian,George Mitchell (Rhodesia),763540238,Stub,,
9484,Rhodesian,John Landau,763870152,Stub,,
9485,Rhodesian,Byron Hove,763951988,Start,,
9486,Rhodesian,Hilary Squires,766847256,Stub,,
9487,Rhodesian,Cecil Dennistoun Burney,774837666,Stub,,
9488,Rhodesian,Mark Partridge,780260926,Stub,,
9489,Rhodesian,Prime Minister of Rhodesia,782602484,Start,,
9490,Rhodesian,Leo Cardwell Ross,783150296,Start,,
9491,Rhodesian,Josiah Gondo,783150589,C,,
9492,Rhodesian,Dunduzu Chisiza,783301534,B,,
9493,Rhodesian,Allan Ross Welsh,784562559,C,,
9494,Rhodesian,John Moore Caldicott,784757829,Start,,
9495,Rhodesian,John Ralph Beaumont,784758963,Start,,
9496,Rhodesian,Leonard Ray Morgan,784769027,Start,,
9497,Rhodesian,Raleigh Grey,784826325,Start,,
9498,Rhodesian,Robert Clarkson Tredgold,784830601,Start,,
9499,Rhodesian,Robert James Hudson,784831407,B,,
9500,Rhodesian,William Harper (Rhodesian politician),784870217,FA,,
9501,Rhodesian,Rowan Cronjé,784974615,GA,,
9502,Rhodesian,Edgar Whitehead,786601705,Start,,
9503,Rhodesian,Henry Hamilton Beamish,786659504,Start,,
9504,Rhodesian,Lionel Cripps,787105083,Start,,
9505,Rhodesian,A. R. Colquhoun,787147677,Start,,
9506,Rhodesian,John McChlery,787854502,Stub,,
9507,Rhodesian,Jeremiah Chirau,789545107,Stub,,
9508,Rhodesian,Winston Field,789689591,C,,
9509,Rhodesian,Howard Unwin Moffat,790010191,Start,,
9510,Rhodesian,Ken Flower,794528943,Start,,
9511,Rhodesian,Andrew Skeen (Rhodesia),795348776,Stub,,
9512,Rhodesian,Hugh Beadle,795369277,FA,,
9513,Rhodesian,Hugh Marshall Hole,795483112,Start,,
9514,Rhodesian,Roy Welensky,797314307,FA,,
9515,Rhodesian,Abel Muzorewa,797407618,C,,
9516,Rhodesian,Signatories of Rhodesia's Unilateral Declaration of Independence,797546082,Start,,
9517,Rhodesian,Jack Howman,798384751,Stub,,
9518,Rhodesian,Ethel Tawse Jollie,798492985,Start,,
9519,Rhodesian,Alan David Butler,799332728,Start,,
9520,Rhodesian,Jack William Pithey,799548505,Start,,
9521,Rhodesian,President of Rhodesia,799548556,C,,
9522,Rhodesian,Denis Walker,799608339,C,,
9523,Rhodesian,James Cowden,800407772,Stub,,
9524,Rhodesian,Herbert Chitepo,800416336,C,,
9525,Rhodesian,Thomas Nangle,800479460,Start,,
9526,Rhodesian,Timothy Stamps,800986051,C,,
9527,Rhodesian,Sam Levy,801716406,Start,,
9528,Rhodesian,Humphrey Gibbs,801718040,C,,
9529,Rhodesian,P. K. van der Byl,801795215,FA,,
9530,Rhodesian,Clifford Dupont,801876681,C,,
9531,Rhodesian,Lance Smith (politician),802151785,GA,,
9532,Rhodesian,Desmond Lardner-Burke,802930161,B,,
9533,Rhodesian,John Bredenkamp,803620246,C,,
9534,Rhodesian,Frank Rhodes (British Army officer),804040348,Start,,
9535,Rhodesian,Ernest Lucas Guest,804101492,FA,,
9536,Rhodesian,Godfrey Chidyausiku,804650400,Start,,
9537,Rhodesian,Richard Hope Hall,804743937,GA,,
9538,Rhodesian,Crosaire,804806363,Start,,
9539,Rhodesian,Gaston Thornicroft,804877226,Start,,
9540,Rhodesian,"James Graham, 7th Duke of Montrose",805372073,C,,
9541,Rhodesian,Ahrn Palley,805960143,C,,
9542,Rhodesian,Allan Savory,806153816,GA,,
9543,Rhodesian,Ian Smith,806532780,FA,,
9544,Rhodesian,Garfield Todd,807097467,C,,
9545,Rhodesian,Douglas Hamilton Ritchie,807159903,C,,
9546,Rhodesian,Godfrey Huggins,807160082,C,,
9547,Rhodesian,George Hackwill,807283218,C,,
9548,Rhodesian,Henry Everard,807425613,Start,,
9549,Rhodesian,John Wrathall,807425747,C,,
10344,"Congo, Dem. Rep. of",Mavua Mudima,592289232,Stub,,
10345,"Congo, Dem. Rep. of",List of provincial governors of the Democratic Republic of the Congo,663088604,Stub,,
10346,"Congo, Dem. Rep. of",Eugène Diomi Ndongala Nzomambu,705390654,Stub,,
10347,"Congo, Dem. Rep. of",Théophile Mbemba Fundu,705707214,Stub,,
10348,"Congo, Dem. Rep. of",Ntumba Luaba,705723187,Stub,,
10349,"Congo, Dem. Rep. of",Myra Ndjoku Manianga,705723441,Stub,,
10350,"Congo, Dem. Rep. of",André-Philippe Futa,708009445,Start,,
10351,"Congo, Dem. Rep. of",Gérard Gifuza,708358969,Stub,,
10352,"Congo, Dem. Rep. of",Koloso Sumaili,708359204,Stub,,
10353,"Congo, Dem. Rep. of",Célestin Cibalonza Byaterana,713195149,Stub,,
10354,"Congo, Dem. Rep. of",Emmanuel Leku Apuobo,713198718,Stub,,
10355,"Congo, Dem. Rep. of",Kisula Ngoy,713583472,Stub,,
10356,"Congo, Dem. Rep. of",Jean Collins Musonda Kalusambo,714150941,Stub,,
10357,"Congo, Dem. Rep. of",Denis Kalume Numbi,714220527,Start,,
10358,"Congo, Dem. Rep. of",Delphin Kyubwa,718961623,Stub,,
10359,"Congo, Dem. Rep. of",Sylvain Ngabu Chumbu,720858135,Start,,
10360,"Congo, Dem. Rep. of",José Endundo Bononge,721206007,Stub,,
10361,"Congo, Dem. Rep. of",Richard Muyej Mangez,723913158,Stub,,
10362,"Congo, Dem. Rep. of",Sébastien Impeto Pengo,725141090,Stub,,
10363,"Congo, Dem. Rep. of",Clovis Kabongo Malemba,733051797,Stub,,
10364,"Congo, Dem. Rep. of",François Nicéphore Kakese,737533634,Stub,,
10365,"Congo, Dem. Rep. of",Raymond Ramazani Baya,742707920,Stub,,
10366,"Congo, Dem. Rep. of",Mulumba Lukoji,743061455,Stub,,
10367,"Congo, Dem. Rep. of",Alexandre Luba Ntambo,749397818,Stub,,
10368,"Congo, Dem. Rep. of",Oscar Kashala,749419078,Start,,
10369,"Congo, Dem. Rep. of",Jean-Marie Runiga Lugerero,750725157,Stub,,
